Level,DivNum,DivisionName,Subject,Subgroup,20132014PassRate,20142015PassRate,20152016PassRate
Div,1,Accomack County ,English: Reading,All Students,66,71,69
Div,1,Accomack County ,English: Writing,All Students,70,76,75
Div,1,Accomack County ,History and Social Sciences,All Students,80,80,77
Div,1,Accomack County ,Mathematics,All Students,71,74,75
Div,1,Accomack County ,Science,All Students,75,79,77
Div,1,Accomack County ,English: Reading,Asian,80,71,76
Div,1,Accomack County ,English: Writing,Asian,<,<,60
Div,1,Accomack County ,History and Social Sciences,Asian,93,100,90
Div,1,Accomack County ,Mathematics,Asian,85,96,83
Div,1,Accomack County ,Science,Asian,77,64,88
Div,1,Accomack County ,English: Reading,Economically Disadvantaged,59,66,61
Div,1,Accomack County ,English: Writing,Economically Disadvantaged,64,68,66
Div,1,Accomack County ,History and Social Sciences,Economically Disadvantaged,74,72,71
Div,1,Accomack County ,Mathematics,Economically Disadvantaged,65,70,69
Div,1,Accomack County ,Science,Economically Disadvantaged,68,73,69
Div,1,Accomack County ,English: Reading,Female,70,76,72
Div,1,Accomack County ,English: Writing,Female,78,79,78
Div,1,Accomack County ,History and Social Sciences,Female,79,79,76
Div,1,Accomack County ,Mathematics,Female,72,76,77
Div,1,Accomack County ,Science,Female,75,79,74
Div,1,Accomack County ,English: Reading,Black,55,60,56
Div,1,Accomack County ,English: Writing,Black,60,64,65
Div,1,Accomack County ,History and Social Sciences,Black,70,66,66
Div,1,Accomack County ,Mathematics,Black,62,64,64
Div,1,Accomack County ,Science,Black,64,70,63
Div,1,Accomack County ,English: Reading,Hispanic,61,68,63
Div,1,Accomack County ,English: Writing,Hispanic,69,76,73
Div,1,Accomack County ,History and Social Sciences,Hispanic,79,81,76
Div,1,Accomack County ,Mathematics,Hispanic,70,79,77
Div,1,Accomack County ,Science,Hispanic,69,75,74
Div,1,Accomack County ,English: Reading,Limited English Proficient,37,52,43
Div,1,Accomack County ,English: Writing,Limited English Proficient,41,32,30
Div,1,Accomack County ,History and Social Sciences,Limited English Proficient,58,65,56
Div,1,Accomack County ,Mathematics,Limited English Proficient,53,70,60
Div,1,Accomack County ,Science,Limited English Proficient,45,49,38
Div,1,Accomack County ,English: Reading,Male,63,68,66
Div,1,Accomack County ,English: Writing,Male,64,73,73
Div,1,Accomack County ,History and Social Sciences,Male,80,80,78
Div,1,Accomack County ,Mathematics,Male,69,73,72
Div,1,Accomack County ,Science,Male,75,79,79
Div,1,Accomack County ,English: Reading,Students with Disabilities,41,38,35
Div,1,Accomack County ,English: Writing,Students with Disabilities,46,37,44
Div,1,Accomack County ,History and Social Sciences,Students with Disabilities,58,57,50
Div,1,Accomack County ,Mathematics,Students with Disabilities,45,45,48
Div,1,Accomack County ,Science,Students with Disabilities,52,53,48
Div,1,Accomack County ,English: Reading,White,79,83,83
Div,1,Accomack County ,English: Writing,White,79,85,84
Div,1,Accomack County ,History and Social Sciences,White,89,90,88
Div,1,Accomack County ,Mathematics,White,79,81,83
Div,1,Accomack County ,Science,White,86,88,90
Div,2,Albemarle County ,English: Reading,All Students,78,80,80
Div,2,Albemarle County ,English: Writing,All Students,79,82,82
Div,2,Albemarle County ,History and Social Sciences,All Students,85,86,84
Div,2,Albemarle County ,Mathematics,All Students,77,77,78
Div,2,Albemarle County ,Science,All Students,82,81,82
Div,2,Albemarle County ,English: Reading,Asian,84,91,89
Div,2,Albemarle County ,English: Writing,Asian,87,89,91
Div,2,Albemarle County ,History and Social Sciences,Asian,91,93,94
Div,2,Albemarle County ,Mathematics,Asian,88,91,91
Div,2,Albemarle County ,Science,Asian,88,89,88
Div,2,Albemarle County ,English: Reading,Economically Disadvantaged,53,54,53
Div,2,Albemarle County ,English: Writing,Economically Disadvantaged,55,55,54
Div,2,Albemarle County ,History and Social Sciences,Economically Disadvantaged,63,63,62
Div,2,Albemarle County ,Mathematics,Economically Disadvantaged,56,55,57
Div,2,Albemarle County ,Science,Economically Disadvantaged,60,55,58
Div,2,Albemarle County ,English: Reading,Female,81,83,82
Div,2,Albemarle County ,English: Writing,Female,86,85,88
Div,2,Albemarle County ,History and Social Sciences,Female,84,84,84
Div,2,Albemarle County ,Mathematics,Female,79,79,80
Div,2,Albemarle County ,Science,Female,82,81,83
Div,2,Albemarle County ,English: Reading,Black,53,53,54
Div,2,Albemarle County ,English: Writing,Black,51,55,54
Div,2,Albemarle County ,History and Social Sciences,Black,60,63,55
Div,2,Albemarle County ,Mathematics,Black,52,52,53
Div,2,Albemarle County ,Science,Black,54,56,49
Div,2,Albemarle County ,English: Reading,Hispanic,58,60,59
Div,2,Albemarle County ,English: Writing,Hispanic,64,66,65
Div,2,Albemarle County ,History and Social Sciences,Hispanic,69,67,70
Div,2,Albemarle County ,Mathematics,Hispanic,60,62,62
Div,2,Albemarle County ,Science,Hispanic,66,58,63
Div,2,Albemarle County ,English: Reading,Limited English Proficient,45,50,52
Div,2,Albemarle County ,English: Writing,Limited English Proficient,52,42,39
Div,2,Albemarle County ,History and Social Sciences,Limited English Proficient,61,56,63
Div,2,Albemarle County ,Mathematics,Limited English Proficient,54,57,60
Div,2,Albemarle County ,Science,Limited English Proficient,56,36,49
Div,2,Albemarle County ,English: Reading,Male,75,77,77
Div,2,Albemarle County ,English: Writing,Male,72,79,76
Div,2,Albemarle County ,History and Social Sciences,Male,86,87,84
Div,2,Albemarle County ,Mathematics,Male,75,76,77
Div,2,Albemarle County ,Science,Male,82,82,81
Div,2,Albemarle County ,English: Reading,Students with Disabilities,40,40,42
Div,2,Albemarle County ,English: Writing,Students with Disabilities,40,45,47
Div,2,Albemarle County ,History and Social Sciences,Students with Disabilities,51,56,52
Div,2,Albemarle County ,Mathematics,Students with Disabilities,44,41,42
Div,2,Albemarle County ,Science,Students with Disabilities,47,49,46
Div,2,Albemarle County ,English: Reading,White,84,86,87
Div,2,Albemarle County ,English: Writing,White,85,88,88
Div,2,Albemarle County ,History and Social Sciences,White,90,91,90
Div,2,Albemarle County ,Mathematics,White,82,83,85
Div,2,Albemarle County ,Science,White,88,88,90
Div,101,Alexandria City ,English: Reading,All Students,66,71,73
Div,101,Alexandria City ,English: Writing,All Students,71,70,69
Div,101,Alexandria City ,History and Social Sciences,All Students,76,77,77
Div,101,Alexandria City ,Mathematics,All Students,64,69,68
Div,101,Alexandria City ,Science,All Students,66,68,69
Div,101,Alexandria City ,English: Reading,Asian,82,82,86
Div,101,Alexandria City ,English: Writing,Asian,85,81,88
Div,101,Alexandria City ,History and Social Sciences,Asian,91,91,88
Div,101,Alexandria City ,Mathematics,Asian,78,82,82
Div,101,Alexandria City ,Science,Asian,79,86,80
Div,101,Alexandria City ,English: Reading,Economically Disadvantaged,53,59,63
Div,101,Alexandria City ,English: Writing,Economically Disadvantaged,60,59,59
Div,101,Alexandria City ,History and Social Sciences,Economically Disadvantaged,67,67,68
Div,101,Alexandria City ,Mathematics,Economically Disadvantaged,52,58,57
Div,101,Alexandria City ,Science,Economically Disadvantaged,52,56,58
Div,101,Alexandria City ,English: Reading,Female,71,75,77
Div,101,Alexandria City ,English: Writing,Female,75,76,76
Div,101,Alexandria City ,History and Social Sciences,Female,77,77,77
Div,101,Alexandria City ,Mathematics,Female,68,72,71
Div,101,Alexandria City ,Science,Female,67,71,71
Div,101,Alexandria City ,English: Reading,Black,57,65,67
Div,101,Alexandria City ,English: Writing,Black,62,67,66
Div,101,Alexandria City ,History and Social Sciences,Black,69,72,71
Div,101,Alexandria City ,Mathematics,Black,55,62,61
Div,101,Alexandria City ,Science,Black,56,63,66
Div,101,Alexandria City ,English: Reading,Hispanic,54,57,61
Div,101,Alexandria City ,English: Writing,Hispanic,62,57,55
Div,101,Alexandria City ,History and Social Sciences,Hispanic,67,66,67
Div,101,Alexandria City ,Mathematics,Hispanic,53,57,55
Div,101,Alexandria City ,Science,Hispanic,52,54,55
Div,101,Alexandria City ,English: Reading,Limited English Proficient,45,51,57
Div,101,Alexandria City ,English: Writing,Limited English Proficient,50,40,38
Div,101,Alexandria City ,History and Social Sciences,Limited English Proficient,62,63,59
Div,101,Alexandria City ,Mathematics,Limited English Proficient,51,55,55
Div,101,Alexandria City ,Science,Limited English Proficient,42,43,45
Div,101,Alexandria City ,English: Reading,Male,62,67,69
Div,101,Alexandria City ,English: Writing,Male,67,65,63
Div,101,Alexandria City ,History and Social Sciences,Male,76,76,76
Div,101,Alexandria City ,Mathematics,Male,60,66,65
Div,101,Alexandria City ,Science,Male,65,65,68
Div,101,Alexandria City ,English: Reading,Students with Disabilities,36,37,42
Div,101,Alexandria City ,English: Writing,Students with Disabilities,31,39,35
Div,101,Alexandria City ,History and Social Sciences,Students with Disabilities,42,48,46
Div,101,Alexandria City ,Mathematics,Students with Disabilities,30,35,34
Div,101,Alexandria City ,Science,Students with Disabilities,33,35,40
Div,101,Alexandria City ,English: Reading,White,89,91,92
Div,101,Alexandria City ,English: Writing,White,91,91,92
Div,101,Alexandria City ,History and Social Sciences,White,93,93,94
Div,101,Alexandria City ,Mathematics,White,87,89,89
Div,101,Alexandria City ,Science,White,90,90,91
Div,3,Alleghany County ,English: Reading,All Students,68,75,74
Div,3,Alleghany County ,English: Writing,All Students,69,74,72
Div,3,Alleghany County ,History and Social Sciences,All Students,76,85,85
Div,3,Alleghany County ,Mathematics,All Students,67,72,75
Div,3,Alleghany County ,Science,All Students,71,79,80
Div,3,Alleghany County ,English: Reading,Asian,<,<,70
Div,3,Alleghany County ,English: Writing,Asian,<,<,<
Div,3,Alleghany County ,History and Social Sciences,Asian,<,<,<
Div,3,Alleghany County ,Mathematics,Asian,90,<,100
Div,3,Alleghany County ,Science,Asian,<,<,<
Div,3,Alleghany County ,English: Reading,Economically Disadvantaged,58,65,65
Div,3,Alleghany County ,English: Writing,Economically Disadvantaged,57,61,59
Div,3,Alleghany County ,History and Social Sciences,Economically Disadvantaged,66,76,78
Div,3,Alleghany County ,Mathematics,Economically Disadvantaged,57,64,67
Div,3,Alleghany County ,Science,Economically Disadvantaged,61,69,73
Div,3,Alleghany County ,English: Reading,Female,70,78,77
Div,3,Alleghany County ,English: Writing,Female,78,81,75
Div,3,Alleghany County ,History and Social Sciences,Female,74,88,86
Div,3,Alleghany County ,Mathematics,Female,70,77,79
Div,3,Alleghany County ,Science,Female,71,81,80
Div,3,Alleghany County ,English: Reading,Black,52,69,59
Div,3,Alleghany County ,English: Writing,Black,51,62,78
Div,3,Alleghany County ,History and Social Sciences,Black,60,68,68
Div,3,Alleghany County ,Mathematics,Black,53,67,60
Div,3,Alleghany County ,Science,Black,51,67,67
Div,3,Alleghany County ,English: Reading,Hispanic,73,90,84
Div,3,Alleghany County ,English: Writing,Hispanic,<,<,<
Div,3,Alleghany County ,History and Social Sciences,Hispanic,76,100,92
Div,3,Alleghany County ,Mathematics,Hispanic,64,78,76
Div,3,Alleghany County ,Science,Hispanic,68,80,79
Div,3,Alleghany County ,English: Reading,Limited English Proficient,<,,<
Div,3,Alleghany County ,English: Writing,Limited English Proficient,<,,<
Div,3,Alleghany County ,History and Social Sciences,Limited English Proficient,<,<,<
Div,3,Alleghany County ,Mathematics,Limited English Proficient,<,<,
Div,3,Alleghany County ,Science,Limited English Proficient,<,<,<
Div,3,Alleghany County ,English: Reading,Male,66,71,71
Div,3,Alleghany County ,English: Writing,Male,60,67,69
Div,3,Alleghany County ,History and Social Sciences,Male,78,81,84
Div,3,Alleghany County ,Mathematics,Male,63,68,72
Div,3,Alleghany County ,Science,Male,72,76,79
Div,3,Alleghany County ,English: Reading,Students with Disabilities,42,35,36
Div,3,Alleghany County ,English: Writing,Students with Disabilities,32,43,23
Div,3,Alleghany County ,History and Social Sciences,Students with Disabilities,40,39,56
Div,3,Alleghany County ,Mathematics,Students with Disabilities,32,31,34
Div,3,Alleghany County ,Science,Students with Disabilities,37,40,43
Div,3,Alleghany County ,English: Reading,White,70,75,75
Div,3,Alleghany County ,English: Writing,White,70,74,73
Div,3,Alleghany County ,History and Social Sciences,White,77,86,86
Div,3,Alleghany County ,Mathematics,White,68,73,76
Div,3,Alleghany County ,Science,White,73,80,81
Div,4,Amelia County ,English: Reading,All Students,67,73,76
Div,4,Amelia County ,English: Writing,All Students,76,76,67
Div,4,Amelia County ,History and Social Sciences,All Students,80,86,84
Div,4,Amelia County ,Mathematics,All Students,64,75,80
Div,4,Amelia County ,Science,All Students,78,79,78
Div,4,Amelia County ,English: Reading,Asian,<,<,<
Div,4,Amelia County ,English: Writing,Asian,,<,<
Div,4,Amelia County ,History and Social Sciences,Asian,<,<,<
Div,4,Amelia County ,Mathematics,Asian,<,<,<
Div,4,Amelia County ,Science,Asian,<,<,<
Div,4,Amelia County ,English: Reading,Economically Disadvantaged,55,65,68
Div,4,Amelia County ,English: Writing,Economically Disadvantaged,63,93,60
Div,4,Amelia County ,History and Social Sciences,Economically Disadvantaged,69,77,75
Div,4,Amelia County ,Mathematics,Economically Disadvantaged,52,67,72
Div,4,Amelia County ,Science,Economically Disadvantaged,68,69,69
Div,4,Amelia County ,English: Reading,Female,70,77,81
Div,4,Amelia County ,English: Writing,Female,79,78,76
Div,4,Amelia County ,History and Social Sciences,Female,78,85,83
Div,4,Amelia County ,Mathematics,Female,64,78,84
Div,4,Amelia County ,Science,Female,75,78,76
Div,4,Amelia County ,English: Reading,Black,54,61,61
Div,4,Amelia County ,English: Writing,Black,64,73,61
Div,4,Amelia County ,History and Social Sciences,Black,69,80,74
Div,4,Amelia County ,Mathematics,Black,50,65,72
Div,4,Amelia County ,Science,Black,65,72,62
Div,4,Amelia County ,English: Reading,Hispanic,59,78,78
Div,4,Amelia County ,English: Writing,Hispanic,<,81,<
Div,4,Amelia County ,History and Social Sciences,Hispanic,79,82,87
Div,4,Amelia County ,Mathematics,Hispanic,65,80,77
Div,4,Amelia County ,Science,Hispanic,67,81,65
Div,4,Amelia County ,English: Reading,Limited English Proficient,50,65,76
Div,4,Amelia County ,English: Writing,Limited English Proficient,<,<,<
Div,4,Amelia County ,History and Social Sciences,Limited English Proficient,80,<,85
Div,4,Amelia County ,Mathematics,Limited English Proficient,57,81,83
Div,4,Amelia County ,Science,Limited English Proficient,<,<,67
Div,4,Amelia County ,English: Reading,Male,65,70,72
Div,4,Amelia County ,English: Writing,Male,73,75,60
Div,4,Amelia County ,History and Social Sciences,Male,81,86,85
Div,4,Amelia County ,Mathematics,Male,64,72,77
Div,4,Amelia County ,Science,Male,82,80,81
Div,4,Amelia County ,English: Reading,Students with Disabilities,37,42,39
Div,4,Amelia County ,English: Writing,Students with Disabilities,43,60,50
Div,4,Amelia County ,History and Social Sciences,Students with Disabilities,64,47,55
Div,4,Amelia County ,Mathematics,Students with Disabilities,36,40,36
Div,4,Amelia County ,Science,Students with Disabilities,54,50,50
Div,4,Amelia County ,English: Reading,White,73,78,82
Div,4,Amelia County ,English: Writing,White,80,78,70
Div,4,Amelia County ,History and Social Sciences,White,84,88,89
Div,4,Amelia County ,Mathematics,White,69,79,84
Div,4,Amelia County ,Science,White,83,82,86
Div,5,Amherst County ,English: Reading,All Students,73,77,77
Div,5,Amherst County ,English: Writing,All Students,72,75,73
Div,5,Amherst County ,History and Social Sciences,All Students,78,82,81
Div,5,Amherst County ,Mathematics,All Students,72,78,75
Div,5,Amherst County ,Science,All Students,82,84,82
Div,5,Amherst County ,English: Reading,Asian,<,100,<
Div,5,Amherst County ,English: Writing,Asian,70,<,<
Div,5,Amherst County ,History and Social Sciences,Asian,<,<,<
Div,5,Amherst County ,Mathematics,Asian,100,<,92
Div,5,Amherst County ,Science,Asian,<,<,100
Div,5,Amherst County ,English: Reading,Economically Disadvantaged,64,67,69
Div,5,Amherst County ,English: Writing,Economically Disadvantaged,64,63,65
Div,5,Amherst County ,History and Social Sciences,Economically Disadvantaged,71,73,76
Div,5,Amherst County ,Mathematics,Economically Disadvantaged,62,71,70
Div,5,Amherst County ,Science,Economically Disadvantaged,75,77,75
Div,5,Amherst County ,English: Reading,Female,77,81,80
Div,5,Amherst County ,English: Writing,Female,80,82,77
Div,5,Amherst County ,History and Social Sciences,Female,78,80,80
Div,5,Amherst County ,Mathematics,Female,75,81,78
Div,5,Amherst County ,Science,Female,83,86,82
Div,5,Amherst County ,English: Reading,Black,58,63,65
Div,5,Amherst County ,English: Writing,Black,52,58,56
Div,5,Amherst County ,History and Social Sciences,Black,66,71,70
Div,5,Amherst County ,Mathematics,Black,58,68,64
Div,5,Amherst County ,Science,Black,68,71,69
Div,5,Amherst County ,English: Reading,Hispanic,79,77,90
Div,5,Amherst County ,English: Writing,Hispanic,89,56,85
Div,5,Amherst County ,History and Social Sciences,Hispanic,88,82,82
Div,5,Amherst County ,Mathematics,Hispanic,73,84,78
Div,5,Amherst County ,Science,Hispanic,91,80,85
Div,5,Amherst County ,English: Reading,Limited English Proficient,<,<,64
